id,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,Class
23,Brief,Low,4,XL,Summer,v-neck,short,natural,cotton,?,pockets,solid,1
24,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,?,sequined,solid,2
25,Sexy,Average,0,free,Automn,v-neck,sleevless,natural,polyster,?,lace,patchwork,1
26,Sexy,Average,0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,?,print,1
27,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,?,?,?,solid,2
28,Casual,Low,0,L,Summer,o-neck,sleevless,natural,cotton,jersey,?,print,1
29,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,1
30,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,2
31,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,1
32,Casual,Low,0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,2
33,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,1
34,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,?,?,bow,solid,2
35,party,High,4.7,M,Spring,o-neck,threequarter,?,?,?,?,print,1
36,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,?,?,patchwork,2
37,vintage,Average,4.6,free,Winter,o-neck,full,natural,?,chiffon,?,print,2
38,Brief,Average,0,M,Automn,o-neck,short,natural,cotton,?,?,print,1
39,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,?,lace,solid,2
40,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,?,button,solid,2
41,Brief,Average,5,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,2
42,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,1
43,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,1
44,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,?,?,print,1
45,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,?,?,patchwork,2
46,Sexy,Average,0,M,Winter,o-neck,short,natural,?,?,lace,solid,1
47,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,?,lace,geometric,1
48,Casual,Average,0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,2
49,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,?,?,solid,1
50,Casual,Medium,0,L,Winter,boat-neck,full,empire,?,?,?,solid,2
51,Sexy,Low,5,free,Summer,v-neck,sleevless,empire,?,chiffon,?,animal,2
52,Casual,Low,4.3,free,Summer,o-neck,sleevless,?,milksilk,?,?,animal,1
53,Casual,Average,0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,2
54,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
55,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,?,lace,geometric,1
56,Novelty,Average,0,S,Winter,turndowncollor,full,natural,cotton,?,?,patchwork,1
57,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,?,?,solid,2
58,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,?,?,lace,solid,2
59,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,?,?,print,2
60,work,Average,0,M,Automn,slash-neck,sleevless,natural,polyster,?,bow,patchwork,1
61,cute,High,0,M,Spring,v-neck,full,natural,rayon,?,?,solid,2
62,Casual,Average,0,free,Spring,o-neck,short,natural,cotton,?,hollowout,plaid,1
63,Casual,Average,5,M,Summer,o-neck,short,empire,polyster,chiffon,?,animal,1
64,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,?,chiffon,sashes,solid,1
65,Sexy,Low,4,S,Automn,o-neck,sleevless,empire,cotton,?,?,solid,2
66,Casual,Average,5,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,1
67,Casual,Low,0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,1
68,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,?,?,patchwork,2
69,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,?,hollowout,solid,1
70,Casual,Medium,0,M,Automn,v-neck,short,empire,polyster,?,?,solid,1
71,bohemian,Average,5,free,Summer,v-neck,sleevless,natural,cotton,batik,?,print,2
72,sexy,Low,0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,2
73,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,?,solid,1
74,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,1
75,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,?,?,solid,1
76,Casual,Low,4.7,L,Spring,o-neck,short,?,chiffonfabric,chiffon,bow,dot,1
77,Casual,Average,5,XL,Winter,boat-neck,full,?,cotton,?,?,geometric,2
78,Casual,Low,0,free,Spring,v-neck,sleevless,?,cotton,?,?,print,1
79,Casual,Average,0,free,Spring,o-neck,sleevless,natural,?,chiffon,?,solid,1
80,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,?,polyster,?,?,?,2
81,Casual,Low,5,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,1
82,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,1
83,Sexy,Low,5,free,Spring,o-neck,full,natural,cotton,worsted,?,striped,1
84,vintage,Low,4.6,M,Summer,o-neck,short,natural,?,chiffon,?,print,1
85,Casual,Average,0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,1
86,Casual,low,4.9,L,Summer,boat-neck,short,?,?,chiffon,?,patchwork,2
87,Casual,Low,0,S,Automn,o-neck,full,natural,?,?,beading,solid,2
88,Sexy,Average,4,S,Automn,v-neck,sleevless,?,rayon,chiffon,?,patchwork,2
89,Sexy,Low,5,M,Automn,o-neck,full,natural,?,chiffon,lace,print,2
90,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,?,cotton,?,?,solid,1
91,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,?,applique,patchwork,2
92,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,?,pockets,solid,2
93,OL,Medium,0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,?,sashes,solid,1
94,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,?,?,solid,1
95,Casual,Medium,0,S,Spring,v-neck,full,?,?,?,?,animal,2
96,Casual,Medium,0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,2
97,Casual,Average,0,M,Spring,o-neck,sleevless,natural,silk,?,?,print,1
98,Casual,Average,0,free,Winter,v-neck,full,natural,?,chiffon,ruffles,print,1
99,vintage,Low,4.8,S,Summer,o-neck,short,natural,?,chiffon,ruffles,print,1
100,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,2
101,fashion,Average,4,free,Summer,open,full,?,cotton,?,sequined,solid,1
102,Casual,Average,4.7,L,Summer,v-neck,short,natural,?,?,?,print,2
103,Casual,Low,0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,?,patchwork,2
104,bohemian,Low,4.8,free,Summer,o-neck,short,?,?,?,?,animal,2
105,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,?,Tiered,solid,1
106,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,?,button,solid,1
107,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,2
108,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,?,?,solid,2
109,Casual,Medium,0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,2
110,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,?,?,?,lace,?,1
111,Sexy,Average,0,L,Automn,v-neck,sleevless,empire,?,chiffon,?,patchwork,1
112,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,?,solid,2
113,Casual,Average,0,M,Automn,o-neck,short,empire,polyster,?,applique,print,1
114,cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,?,chiffon,hollowout,solid,1
115,party,Average,5,M,Spring,o-neck,halfsleeve,natural,?,?,?,?,2
116,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,?,chiffon,?,solid,1
117,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,?,patchwork,1
118,Casual,Low,4.7,L,Automn,o-neck,full,?,cotton,chiffon,lace,print,1
119,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,1
120,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,2
121,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,1
122,vintage,Average,0,free,Summer,o-neck,sleevless,?,?,?,?,?,1
123,Sexy,Low,4.6,free,Spring,o-neck,full,natural,?,?,lace,leopard,2
124,Sexy,Low,0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,?,solid,2
125,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,?,patchwork,1
126,Casual,Average,4.4,M,Summer,o-neck,short,empire,?,?,lace,patchwork,1
127,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,1
128,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,1
129,party,Average,4.4,free,Automn,v-neck,threequarter,natural,?,?,?,solid,1
130,Casual,Average,0,free,Spring,o-neck,short,?,cotton,?,lace,?,2
131,Casual,Low,0,M,Summer,v-neck,full,natural,acrylic,?,lace,solid,1
132,Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,?,?,patchwork,2
133,work,Average,4.6,M,Spring,v-neck,full,?,?,chiffon,?,?,1
134,cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,?,lace,solid,1
135,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,?,chiffon,?,solid,1
136,cute,High,0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,1
137,Casual,Average,0,XL,Winter,o-neck,short,empire,polyster,?,button,solid,1
138,Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,?,print,2
139,Casual,Low,4.7,M,Automn,o-neck,full,?,cotton,?,?,solid,1
140,cute,Average,4.3,free,Summer,boat-neck,sleevless,?,?,?,?,?,2
141,Sexy,Low,0,free,Automn,slash-neck,short,empire,?,?,hollowout,solid,1
142,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,1
143,Sexy,low,4.5,L,Spring,o-neck,sleevless,?,?,?,lace,solid,1
144,Casual,Average,4.7,M,Automn,o-neck,sleevless,?,cotton,?,?,animal,2
145,Casual,Average,0,L,Spring,boat-neck,sleevless,natural,cotton,?,lace,solid,2
146,cute,low,4.7,free,Summer,o-neck,sleevless,?,?,chiffon,?,print,2
147,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,?,?,solid,1
148,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,?,ruffles,solid,1
149,vintage,Average,4.3,free,winter,o-neck,short,?,chiffonfabric,chiffon,?,print,1
150,cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,2
151,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,?,solid,1
152,vintage,Medium,0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,?,plaid,1
153,Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,?,?,solid,2
154,vintage,High,0,L,Summer,o-neck,short,natural,cotton,?,?,print,1
155,Casual,low,0,free,Spring,v-neck,threequarter,?,silk,?,lace,?,2
156,Sexy,Average,0,S,Automn,slash-neck,short,natural,?,?,lace,solid,1
157,Casual,Low,0,free,Spring,o-neck,short,natural,?,?,hollowout,solid,1
158,cute,Medium,5,free,Winter,o-neck,sleevless,natural,silk,?,lace,solid,2
159,Casual,Low,4.7,free,Summer,o-neck,sleevless,?,?,?,?,print,1
160,Sexy,Low,4.8,free,Spring,v-neck,sleevless,?,?,?,sequined,solid,2
161,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,?,bow,patchwork,1
162,vintage,Average,0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,1
163,Casual,Average,3.7,free,Automn,boat-neck,full,?,?,?,?,solid,2
164,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,?,?,patchwork,1
165,cute,Average,0,XL,Spring,boat-neck,full,?,cotton,worsted,applique,dot,2
166,Casual,Average,0,L,Winter,open,short,natural,mix,poplin,applique,solid,2
167,sexy,Medium,5,M,Winter,o-neck,sleevless,empire,polyster,?,bow,solid,1
168,Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,?,?,?,solid,1
169,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,?,?,?,dot,2
170,Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,?,sashes,solid,1
171,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,1
172,Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,1
173,Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,1
174,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,?,chiffon,button,striped,1
175,work,Average,0,S,Automn,o-neck,sleevless,natural,linen,?,?,patchwork,1
176,Casual,Low,0,L,Winter,o-neck,sleevless,empire,polyster,?,?,leopard,1
177,cute,low,5,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,1
178,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,2
179,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,?,?,leopard,1
180,cute,low,0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,1
181,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,?,?,solid,2
182,Sexy,low,4.7,M,Winter,slash-neck,sleevless,?,nylon,?,sashes,solid,2
183,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,?,floral,1
184,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,1
185,Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,2
186,bohemian,Average,0,L,Winter,turndowncollor,full,natural,mix,?,?,solid,1
187,Casual,Low,0,free,?,o-neck,full,natural,cotton,?,?,patchwork,1
188,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,2
189,Sexy,Average,0,S,Automn,v-neck,sleevless,empire,cotton,?,beading,solid,1
190,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,?,?,solid,2
191,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,?,lace,solid,2
192,work,low,4.7,free,Summer,o-neck,full,empire,cotton,?,?,solid,1
193,cute,Average,4.8,M,Summer,o-neck,short,natural,cotton,?,rivet,solid,1
194,cute,Average,0,M,Summer,o-neck,short,natural,cotton,chiffon,?,print,1
195,Casual,Average,4.7,M,winter,o-neck,full,?,?,?,?,animal,1
196,Casual,low,4.6,free,winter,o-neck,full,natural,polyster,?,applique,solid,2
197,party,Average,5,free,Summer,v-neck,sleevless,?,?,?,?,?,1
198,Casual,Average,0,free,Summer,v-neck,sleevless,natural,cotton,chiffon,?,patchwork,1
199,Sexy,Average,5,L,winter,o-neck,threequarter,natural,polyster,?,lace,geometric,1
200,Sexy,Average,4.8,free,Winter,o-neck,sleevless,natural,polyster,?,embroidary,solid,1
201,Casual,Average,4.7,S,Summer,v-neck,short,natural,cotton,?,?,dot,1
202,Casual,Average,4.1,M,Automn,v-neck,full,?,?,chiffon,sashes,?,2
203,Casual,Average,5,XL,Automn,o-neck,short,natural,chiffonfabric,chiffon,?,?,1
204,Sexy,Average,5,M,Summer,v-neck,sleevless,empire,cotton,?,sequined,solid,2
205,work,Average,4.6,L,Summer,slash-neck,short,natural,cotton,?,?,solid,1
206,Casual,Average,4.5,M,Summer,peterpan-collor,sleevless,?,?,?,?,?,1
207,vintage,Average,4.5,L,Automn,o-neck,sleevless,empire,?,worsted,?,solid,1
208,Casual,Average,0,M,Summer,o-neck,threequarter,natural,nylon,broadcloth,?,solid,2
209,cute,Average,4.7,L,Summer,o-neck,sleevless,natural,cotton,worsted,?,print,1
210,bohemian,Low,4.7,free,Winter,o-neck,short,natural,nylon,?,sashes,print,1
211,Casual,low,5,free,Spring,slash-neck,sleevless,empire,spandex,?,?,striped,2
212,Casual,Average,5,M,Winter,o-neck,sleevless,natural,?,chiffon,sashes,solid,2
213,Casual,Average,4.3,free,Summer,o-neck,sleevless,natural,cotton,worsted,?,striped,1
214,work,low,4.5,M,Winter,v-neck,threequarter,?,?,?,?,patchwork,1
215,Casual,Average,4.3,S,Spring,boat-neck,full,natural,cotton,?,lace,patchwork,2
216,Casual,Average,4.4,L,Automn,o-neck,halfsleeve,natural,?,dobby,lace,animal,1
217,sexy,Low,4.3,M,Automn,open,short,natural,lace,?,lace,print,1
218,Casual,Low,4.6,free,Summer,o-neck,full,natural,cotton,worsted,lace,solid,2
219,Casual,low,4.6,L,Winter,o-neck,full,?,cotton,?,?,?,1
220,Casual,Average,4.6,M,Spring,o-neck,sleevless,natural,?,chiffon,sashes,solid,2
221,Casual,low,0,free,Automn,peterpan-collor,threequarter,empire,?,?,?,?,1
222,Casual,Average,4.7,S,Spring,o-neck,halfsleeve,empire,?,chiffon,?,?,2
223,Casual,Average,0,S,Summer,o-neck,sleevless,empire,cotton,?,?,solid,1
224,Casual,low,4.8,free,Summer,o-neck,sleevless,natural,cotton,?,?,print,2
225,Casual,Average,5,S,Winter,o-neck,sleevless,empire,polyster,chiffon,?,plaid,1
226,Sexy,very-high,0,free,Winter,v-neck,sleevless,natural,polyster,knitting,?,solid,1
227,Casual,low,4.4,free,Summer,o-neck,sleevless,natural,polyster,?,sashes,print,1
228,Casual,Average,4.8,M,Automn,v-neck,short,?,?,chiffon,embroidary,print,2
229,Casual,Average,5,free,Summer,v-neck,sleevless,?,modal,?,?,patchwork,1
230,Sexy,low,4.8,M,Automn,v-neck,full,natural,cotton,?,?,print,2
231,Casual,Average,4.6,free,Winter,v-neck,full,natural,cotton,flannel,?,striped,1
232,Casual,Average,4.6,M,Winter,v-neck,full,natural,chiffonfabric,chiffon,?,?,1
233,Casual,low,5,S,Spring,o-neck,sleevless,natural,chiffonfabric,?,?,print,1
234,cute,Average,0,M,Winter,o-neck,short,natural,polyster,chiffon,sashes,solid,1
235,Casual,low,4.8,free,Spring,o-neck,sleevless,?,chiffonfabric,chiffon,?,print,2
236,Casual,Average,4.6,M,Automn,o-neck,short,empire,polyster,?,applique,dot,1
237,bohemian,Average,5,M,Spring,slash-neck,sleevless,empire,?,chiffon,ruffles,solid,2
238,Casual,Low,4.9,free,winter,o-neck,sleevless,empire,silk,?,sashes,print,2
239,Casual,Average,4.7,L,Summer,o-neck,sleevless,natural,silk,chiffon,beading,solid,1
240,Casual,Medium,4.6,M,winter,o-neck,full,natural,cashmere,?,?,solid,2
241,Casual,Average,4.7,M,winter,v-neck,sleevless,empire,polyster,chiffon,applique,print,1
242,Sexy,Average,4.7,M,winter,v-neck,sleevless,natural,polyster,broadcloth,?,patchwork,1
243,Casual,Average,3.5,M,winter,v-neck,short,natural,?,?,?,solid,1
244,Casual,Average,4.8,M,winter,o-neck,threequarter,natural,?,?,?,print,2
245,Casual,Average,0,M,winter,o-neck,full,natural,cotton,jersey,feathers,solid,2
246,Casual,low,4.6,M,Summer,o-neck,sleevless,natural,cotton,?,sashes,striped,1
247,Casual,Average,4.7,L,Spring,v-neck,halfsleeve,natural,?,broadcloth,?,print,2
248,Casual,low,4.5,free,Summer,o-neck,full,natural,cotton,?,button,solid,1
249,Casual,Average,4.7,M,Summer,o-neck,sleevless,natural,polyster,?,?,character,1
250,Casual,low,4.5,M,Winter,o-neck,short,natural,chiffonfabric,chiffon,?,solid,1
251,Casual,low,4.7,S,summer,o-neck,full,natural,cotton,?,?,patchwork,1
252,cute,Low,0,free,Summer,boat-neck,sleevless,?,cotton,?,?,print,1
253,party,very-high,5,M,Spring,slash-neck,sleevless,natural,chiffonfabric,chiffon,flowers,?,2
254,Casual,Average,4.9,M,Automn,v-neck,sleevless,?,polyster,?,?,?,2
255,party,very-high,0,L,Winter,v-neck,sleevless,natural,polyster,tulle,beading,?,1
256,party,very-high,0,M,Winter,v-neck,cap-sleeves,?,?,chiffon,lace,?,1
257,Casual,Low,4.4,M,Winter,v-neck,turndowncollor,?,cotton,?,?,?,2
258,party,very-high,0,M,Spring,v-neck,threequater,natural,lycra,sattin,applique,?,2
259,party,high,0,M,Winter,Sweetheart,sleevless,natural,?,?,pearls,?,1
260,party,high,0,M,Spring,Sweetheart,sleevless,?,nylon,?,?,?,1
261,party,Average,5,M,Winter,o-neck,capsleeves,empire,polyster,?,lace,?,2
262,party,high,4.7,M,Winter,sweetheart,sleeveless,natural,?,chiffon,flowers,?,1
263,party,?,4.8,free,Winter,o-neck,sleevless,empire,?,?,embroidary,?,2
264,party,?,4.5,L,Summer,?,full,?,?,?,?,?,2
265,party,very-high,4.9,M,Spring,Sweetheart,sleeevless,empire,?,chiffon,beading,?,2
266,party,high,4.6,M,winter,Sweetheart,sleevless,natural,?,chiffon,?,?,1
267,party,Average,5,M,Spring,Sweetheart,sleevless,natural,polyster,?,?,?,2
268,party,very-high,4.8,L,Spring,Sweetheart,sleevless,empire,microfiber,organza,beading,?,2
269,party,very-high,0,M,Winter,Sweetheart,sleevless,natural,polyster,chiffon,beading,?,2
270,party,high,4.6,L,Spring,slash-neck,sleevless,empire,silk,chiffon,beading,?,1
271,party,Average,4.8,L,?,Sweetheart,sleevless,empire,?,?,pleat,?,2
272,party,Medium,4.6,S,Winter,Scoop,short,empire,?,?,crystal,?,1
273,party,very-high,4.9,M,Spring,Sweetheart,sleevless,natural,silk,chiffon,beading,?,2
274,party,Medium,4.8,S,Spring,v-neck,sleevless,empire,?,?,?,?,2
275,party,very-high,4.2,L,Winter,v-neck,sleevless,?,?,?,lace,?,2
276,Casual,Low,4.4,free,Summer,o-neck,sleevless,?,?,?,?,?,2
277,party,very-high,4.1,M,Winter,Scoop,short,natural,cotton,lace,applique,?,2
278,party,very-high,0,M,Winter,o-neck,full,natural,?,?,feathers,?,2
279,Casual,high,4.6,M,Summer,Sweetheart,sleevless,empire,?,?,beading,?,2
280,party,Average,4.7,free,Winter,o-neck,sleevless,?,polyster,?,?,?,1
281,party,very-high,4.7,L,Winter,slash-neck,sleevless,empire,viscos,chiffon,beading,?,2
282,party,very-high,4.5,M,Spring,v-neck,cap-sleeves,?,?,?,lace,?,2
283,party,Average,4.7,free,Spring,Sweetheart,sleevless,empire,rayon,chiffon,beading,solid,2
284,party,high,4.8,M,Summer,Sweetheart,sleevless,princess,?,sattin,?,?,2
285,party,high,4.6,M,Summer,slash-neck,sleevless,natural,?,chiffon,?,?,2
286,party,Medium,4.7,M,Winter,o-neck,sleevless,empire,cotton,chiffon,button,?,2
287,cute,Average,4.4,free,Spring,Sweetheart,sleevless,empire,spandex,tulle,ruched,solid,2
288,party,Average,5,M,Spring,o-neck,sleevless,?,?,?,?,?,2
289,party,very-high,4.8,free,Spring,Sweetheart,sleevless,natural,polyster,chiffon,beading,?,2
290,party,Medium,4.8,M,Spring,o-neck,sleevless,natural,silk,chiffon,crystal,?,2
291,party,very-high,4.9,L,Spring,slash-neck,sleevless,?,?,chiffon,flowers,?,2
292,party,Medium,0,free,Winter,v-neck,short,empire,?,chiffon,lace,?,2
293,work,Average,5,free,Winter,o-neck,half,?,microfiber,?,?,?,1
294,party,very-high,4.9,M,Spring,v-neck,sleevless,empire,?,sattin,beading,?,2
295,Casual,high,5,free,Summer,v-neck,sleevless,natural,nylon,?,?,?,2
296,Casual,very-high,0,small,Spring,o-neck,full,?,?,chiffon,applique,?,1
297,Casual,Medium,4.7,M,Spring,o-neck,sleevless,natural,cotton,?,bow,?,2
298,party,Average,0,M,Spring,v-neck,sleevless,natural,?,?,?,?,2
299,Casual,Average,4.4,free,Summer,slash-neck,sleevless,empire,cotton,?,?,?,2
300,Casual,very-high,4.6,M,winter,o-neck,short,natural,?,?,flowers,?,2
301,Casual,Low,4.4,free,winter,halter,sleevless,natural,?,?,draped,?,2
302,party,high,4.5,M,winter,o-neck,sleevless,?,?,?,?,?,2
303,Casual,Average,4.8,free,Summer,o-neck,sleevless,natural,?,?,?,?,1
304,Sexy,Average,5,M,Summer,o-neck,sleeveless,natural,polyster,broadcloth,rivet,?,1
305,vintage,Average,4.9,free,Summer,o-neck,urndowncollor,empire,?,?,?,?,1
306,vintage,Average,4.7,S,Summer,turndowncollor,short,empire,cotton,?,?,?,1
307,work,Average,4.9,M,Summer,sqare-collor,halfsleeve,empire,polyster,sattin,sashes,?,1
308,Casual,low,4.7,L,Spring,o-neck,short,natural,chiffonfabric,chiffon,?,?,1
309,Casual,Average,4.8,L,Automn,o-neck,short,natural,cashmere,?,?,?,1
310,Sexy,low,4.7,free,Spring,v-neck,sleeveless,?,?,?,sequined,?,2
311,Casual,Average,0,S,Winter,slash-neck,halfsleeve,natural,nylon,broadcloth,?,?,1
312,Casual,Average,4.2,S,Winter,v-neck,sleevless,empire,other,chiffon,hollowout,patchwork,1
313,Novelty,Average,0,free,Summer,o-neck,full,natural,cotton,sattin,hollowout,solid,1
